sid,case,feature,align,win_start,win_end,win_center_ms,win_center_stim_aligned_ms,peak_time_ms,peak_time_stim_aligned_ms,win_len_ms,reaction_time_ms
20201004,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,0.0,222.4749999999176,50.0,222.4749999999176
20201004,case_iii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,10.000000009313226,232.47500000923083,50.0,222.4749999999176
20201004,case_iv,C,stim,180.0,229.99999999999997,205.0,205.0,210.00000089406967,210.00000089406967,49.99999999999997,222.4749999999176
20201004,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,-10.000000009313226,212.47499999060437,50.0,222.4749999999176
20201004,case_v,C,stim,180.0,229.99999999999997,205.0,205.0,210.00000089406967,210.00000089406967,49.99999999999997,222.4749999999176
20201004,case_v,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,0.0,222.4749999999176,50.0,222.4749999999176
20201004,case_vi,C,stim,259.99999999999994,309.99999999999994,284.99999999999994,284.99999999999994,280.0000011920929,280.0000011920929,50.0,222.4749999999176
20201004,case_vi,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,227.47499999991757,-10.000000009313226,212.47499999060437,50.0,222.4749999999176
20201204,case_i,C,sacc,-80.00000000000003,-30.00000000000003,-55.00000000000003,168.7374999999133,-70.00000029802322,153.7374997018901,50.0,223.73749999991333
20201204,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,228.7374999999133,-10.000000009313226,213.7374999906001,50.0,223.73749999991333
20201204,case_ii,C,sacc,-60.00000000000003,-10.000000000000023,-35.00000000000003,188.7374999999133,-40.0000000372529,183.73749996266042,50.00000000000001,223.73749999991333
20201204,case_ii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,228.7374999999133,0.0,223.73749999991333,50.0,223.73749999991333
20201204,case_iii,C,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,208.7374999999133,-20.000000251457095,203.73749974845623,50.0,223.73749999991333
20201204,case_iii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,228.7374999999133,0.0,223.73749999991333,50.0,223.73749999991333
20201204,case_iv,C,stim,120.00000000000001,220.00000000000003,170.00000000000003,170.00000000000003,179.99999970197678,179.99999970197678,100.00000000000001,223.73749999991333
20201204,case_iv,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,228.7374999999133,-10.000000009313226,213.7374999906001,50.0,223.73749999991333
20201204,case_v,C,stim,140.0,190.0,165.0,165.0,179.99999970197678,179.99999970197678,50.0,223.73749999991333
20201204,case_v,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,228.7374999999133,0.0,223.73749999991333,50.0,223.73749999991333
20201204,case_vi,C,stim,199.99999999999997,250.0,225.0,225.0,210.00000089406967,210.00000089406967,50.00000000000003,223.73749999991333
